기간,	일본,	미국,	중국,	해외동포,	기타
2010,	3023009, 	652889, 	1875157, 	319494, 	2927109
2011,	3289051, 	661503, 	2220196, 	327260, 	3296786
2012,	3518792, 	697866, 	2836892, 	329558, 	3756920
2013,	2747750, 	722315, 	4326869, 	309495, 	4069121
2014,	2280434,	770305, 	6126865, 	292589, 	4731323
2015,	1837782, 	767613, 	5984170, 	270193, 	4371893
